userId,similarUsers
201,8844;11833;3863;8130;12468;6622;6266;9848;4500;1473
202,5795;7632;11682;1442;866;5303;2365;9819;12743;4712
203,5640;4586;738;1902;2513;4803;11207;8506;4562;11905
204,3769;4417;5672;4508;5408;6518;6911;2032;7413;11151
205,676;3392;6492;5912;3821;9014;5733;2163;9992;3973
206,9992;6482;8639;8498;10140;3271;6213;7865;11468;8552
207,1669;4189;6188;5077;8912;6631;7577;9204;4120;8957
208,12901;5914;9572;7630;9838;1579;4519;10675;12315;10249
209,6562;1592;7545;5994;757;2836;9340;8315;6553;4620
210,10254;8469;9565;11587;926;9786;6931;9947;7865;7366
211,4872;4918;12760;3226;12648;11844;637;5108;94;9238
212,5757;11376;7085;7466;11530;8084;5334;4104;3938;3902
213,5219;6526;12319;9909;6566;11452;6806;10232;441;9957
214,2891;2251;370;3130;12901;6408;4544;12084;2434;4887
215,123;3086;3765;7292;8874;8552;5737;5181;5419;5146
216,9675;3769;471;6971;9889;618;9100;3006;7243;4299
217,4110;80;199;7241;5778;2733;1433;11495;5212;1303
218,4955;1161;4438;12075;1885;2010;8136;5720;1813;10333
219,7017;5631;5336;7607;3915;12559;5012;8946;3789;6987
220,1431;11198;3232;6653;9967;7158;4546;11097;7686;2751
221,4829;12097;11150;3635;5977;12571;2262;1711;10726;547
222,10742;4606;8995;4070;11256;4983;12113;1451;924;27
223,797;10315;7310;11337;6861;6473;12578;8882;2849;9365
224,11733;1445;5097;2611;2401;4424;10684;9521;6443;3709
225,2951;5945;2331;8560;7079;10911;10249;9903;1008;12563
226,4409;5308;10033;1881;269;1244;11808;4718;489;6933
227,12430;4992;1140;11325;7397;5411;645;29;12700;9419
228,12302;5416;11722;4623;7633;313;10723;7024;846;9928
229,5849;2608;1273;4873;668;9576;2542;9093;11493;6541
230,2699;3032;469;7433;5272;2592;10184;6265;2935;12911
231,10318;3455;1732;1749;4917;11136;2587;8420;9281;6199
232,5019;12011;11919;8973;27;11533;4194;11064;11440;10407
233,10749;8752;2510;11593;7096;1378;8942;9656;10069;1065
234,12197;1687;6546;6134;3332;3140;3052;7538;3372;11105
235,7733;9792;471;6693;9516;5702;5532;8340;8549;6266
236,1796;4924;7541;4223;12476;9879;511;1393;8420;1562
237,11057;12687;8364;7032;10316;7006;4580;116;11321;9481
238,7039;7771;12559;23;10794;10159;10348;4089;296;4915
239,10128;7123;5906;4736;11005;1034;1844;8529;1587;10823
240,9865;5123;10493;3567;7209;661;11090;9246;11761;9492
241,11440;11166;10792;4912;5749;8083;5886;7137;11449;8205
242,3246;2360;119;3242;12491;2966;9306;12062;3900;1164
243,5850;11318;12753;3338;4180;8794;374;11498;5970;7864
244,3273;4902;9464;4543;6305;7636;5746;9326;3263;4804
245,6474;7142;7595;10276;2118;12091;6167;5520;11262;6043
246,1528;8482;11004;9022;10670;12042;2694;6675;31;11997
247,3510;9631;9387;6072;8517;10820;3589;8184;11;8389
248,2191;3166;8151;1088;8551;4763;2281;5155;4034;8961
249,12719;3628;11254;11704;8597;4668;3466;6744;378;2386
250,12767;1545;5290;9125;8976;9694;11169;10795;4295;10284
251,2815;1420;2291;4831;11030;11001;3744;816;7672;4857
252,9900;7815;330;587;3813;5463;6491;9063;8255;2392
253,4572;6551;12018;7823;9501;9404;12527;404;12699;9615
254,5212;11045;8661;505;2103;6456;5512;5832;3005;5280
255,2065;11256;6098;2518;924;12074;12440;2340;12162;2716
256,5012;8768;5251;6008;8187;6510;5703;5371;11308;5193
257,6260;10977;6998;6883;12749;7933;8561;6980;1481;4322
258,1559;5651;7199;2550;5662;11760;8137;11410;9044;8900
259,12084;3301;6967;2672;12348;4610;462;8426;7245;4292
260,11529;2766;10566;4713;1723;4821;59;7929;12274;3647
261,10284;886;2176;7422;1492;12728;9065;5921;10929;10806
262,6750;6631;10764;6188;2449;7064;1218;4410;316;7577
263,12818;6336;1182;193;1822;8427;2024;4719;1463;5518
264,10002;509;3381;2741;5097;10705;2879;7692;1137;2868
265,7678;6985;11316;10586;11627;6172;6081;6762;9172;4099
266,2508;3881;6111;6031;11306;12149;3312;1083;3563;6281
267,3239;5048;3527;7556;317;210;7696;7266;1195;10340
268,7159;3099;4068;12283;8001;7926;3368;3425;10646;6527
269,10220;3644;8782;2953;226;1179;5648;1646;4021;5300
270,12335;8864;10322;5362;4460;8729;3893;6113;7587;4508
271,12449;544;2165;993;2221;7361;6387;4910;6808;10377
272,10179;11249;9709;8795;3255;9180;4862;9604;4220;2698
273,2363;11844;6442;10912;6423;6070;7452;12040;1489;8765
274,8239;1024;1611;11535;1275;5595;6196;10398;8025;8178
275,7162;7328;3033;9846;1635;10656;11471;7758;8913;6037
276,5863;1126;8622;5247;5054;8259;7064;4189;7669;12870
